MANDATE,ATTACKERS,INEQUALITY,PREMIUM,EFFICIENCY,EFFORT,PAYOFF,CAUGHT,CLAIMS,TAX,d_init,d_end,a_init,a_end,i_init,i_end,g_init,g_end,attacks_attempted,attacks_succeeded,amount_stolen,attacker_expenditures,government_expenditures,crossovers,insurer_tod,paid_claims,final_iter,outcome
0.20,0.84,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,61885995,61314812,51017035,605,3867875,3446179,7735749,25859006,1661,506,5666426,8604981,25281071,"[]","[]",421696,277,E
0.20,0.49,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,62858984,62538510,25594613,1114,3928686,3708118,7857373,17354978,962,303,2295573,5246358,11390578,"[]","[]",220568,221,E
0.20,0.61,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,52186048,51781941,33017104,300,3261628,2911478,6523256,10977893,1270,436,4563946,6547521,22768903,"[]","[]",350150,269,E
0.20,0.83,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,63506253,63072154,38239678,1848,3969141,3596411,7938282,21040838,1564,485,3787838,7720673,18221431,"[]","[]",372730,269,E
0.20,0.82,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,60568864,60036363,41675275,1243,3785554,3375337,7571108,16218878,1631,539,5598631,8879120,25089861,"[]","[]",410217,314,E
0.20,0.92,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,64753693,64215818,49427386,1205,4047106,3617213,8094212,16121232,1834,604,6725739,10739056,31627873,"[]","[]",429893,398,E
0.20,0.97,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,75320864,74686397,44405684,3054,4707554,4196973,9415108,19122386,1945,633,6676340,11240896,24599504,"[]","[]",510581,280,E
0.20,0.89,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,58344043,57776576,42300199,2321,3646503,3157499,7293005,20826727,1800,591,4825572,9532019,20288608,"[]","[]",489003,234,E
0.20,0.85,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,64713124,64218844,56275039,1974,4044570,3652301,8089141,12333886,1652,517,5154843,9757765,43157103,"[]","[]",392269,262,E
0.20,0.70,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,72554066,72051375,32464818,680,4534629,4087507,9069258,15656838,1443,481,5329995,8490037,18336334,"[]","[]",447122,354,E
0.20,0.99,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,63749936,63155580,49281213,2757,3984371,3487548,7968742,17058404,1970,645,6094787,10447191,30832783,"[]","[]",496823,422,E
0.20,0.90,0.60,0.50,0.50,0.30,0.60,0.50,0.60,0.50,65695390,65071532,47149600,809,4105962,3710412,8211924,17687167,1748,537,5640506,9307062,29385892,"[]","[]",395550,306,E
